,dU/dy,u'u',v'v',w'w',u'v',u'w',v'w'
0,1.0,4.176503139302004e-36,0.0,-4.685006664461505e-10,0.0,-6.964740163543049e-40,0.0
1,0.9999858899371266,0.0010057296300364,4.711428583307734e-09,0.0004434640182224,-3.980482056045502e-07,-8.647142289694951e-08,6.027251848120076e-11
2,0.9999469147763482,0.0092711345069473,3.846287241004186e-07,0.0039593687543747,-1.13718246691514e-05,-8.119894627154512e-07,1.722110955671311e-09
3,0.9998185653292307,0.0379246352867789,6.04829231846731e-06,0.0154263297000859,-9.679784760567144e-05,-3.408324203057311e-06,1.466384983529192e-08
4,0.9993785912833544,0.1075991555237776,4.471795879474329e-05,0.0409923974761175,-0.0004781457254533,-9.973360601192436e-06,7.246230200962355e-08
5,0.998062614991192,0.2469056764728029,0.0002115274855986,0.086697743864142,-0.001718677337371,-2.365298783456456e-05,2.605719407305371e-07
6,0.9947055589386128,0.4920761127102227,0.0007408701319817,0.1570620498637934,-0.0049817682847259,-4.865495282468065e-05,7.5542027784359e-07
7,0.9872936380317612,0.883968313463455,0.0020855148234281,0.2540232003608626,-0.0122787055559658,-8.978143645795672e-05,1.860546199885885e-06
8,0.9748179109346056,1.391516383504098,0.0045741793007306,0.3628868345096443,-0.0246306029400904,-0.0001438436521909,3.725004435692765e-06
9,0.9562887308572536,2.002918592492006,0.0085547588218119,0.4790678189993579,-0.0430261676001718,-0.0002090492999646,6.487550667019493e-06
10,0.9312143085821216,2.697083123343675,0.0143266544976379,0.5990438772118853,-0.0679567317407124,-0.0002823447028575,1.020744451286445e-05
11,0.8996593658158216,3.445994837431021,0.0221298419812521,0.7202357171717447,-0.099357648422942,-0.0003599078941718,1.486036832980654e-05
12,0.8622016752149116,4.218370752185365,0.0321430305405279,0.8408398207670033,-0.1366517079500359,-0.0004377430820831,2.034902719608629e-05
13,0.8198167667632708,4.983497331857055,0.0444868998750257,0.9596438236773368,-0.178864316760865,-0.0005121960072443,2.652139418158893e-05
14,0.7737284660928244,5.714370530246509,0.0592293578704904,1.07585161947444,-0.2247728164384186,-0.0005802848245074,3.319897992679885e-05
15,0.7252583950226856,6.389683782639549,0.0763908980380254,1.188936426284674,-0.2730568406437616,-0.0006398366457009,4.019048804757281e-05
16,0.6756973507010433,6.994613934909116,0.0959491781857364,1.298530389382188,-0.3224268187495392,-0.0006894848813328,4.730651602090066e-05
17,0.6262103961235123,7.520625289776707,0.1178427239763971,1.404351135123613,-0.3717187995118702,-0.0007285934580542,5.438953028680476e-05
18,0.5777783178119661,7.964627136814526,0.141974114455463,1.506160116131893,-0.4199529334143858,-0.0007571221308277,6.130008783913752e-05
19,0.5311718211553739,8.327816005286795,0.1682131521113594,1.603744816944503,-0.4663592637429678,-0.0007754701899962,6.79303926048226e-05
20,0.4869514639513856,8.614462979202218,0.1964004428192719,1.696916327036239,-0.5103777808489457,-0.0007842907818878,7.422020645027458e-05
21,0.4454852641894829,8.830814306843106,0.2263516148627094,1.785514788822818,-0.5516408225715267,-0.0007843342616703,8.012414956193438e-05
22,0.4069764578706155,8.984189789328289,0.2578621850813868,1.869417270479614,-0.5899453502913321,-0.0007763777102943,8.562272466603456e-05
23,0.3714953193895211,9.082301283462773,0.2907129054278092,1.948544564885448,-0.6252211466289805,-0.0007611843144791,9.072079362087031e-05
24,0.3390106735892723,9.132775233646273,0.3246753184000326,2.022865172824118,-0.6574993405760085,-0.0007394889335682,9.54276673201118e-05
25,0.3094184038789963,9.142844546126591,0.3595172228917295,2.092396041092478,-0.6868839308526583,-0.0007119581038514,9.976045766936511e-05
26,0.2825655885630782,9.119170108542551,0.3950077778268206,2.157200299156267,-0.7135276777751021,-0.0006791796025811,0.0001037535886532
27,0.2582698791672487,9.067755239516542,0.4309220311249165,2.217382702471645,-0.7376127523239844,-0.0006416955174674,0.0001074372792132
28,0.2363343574056081,8.99392278716396,0.4670447386844278,2.273083574700332,-0.7593358752807456,-0.0006000256113807,0.0001108477821057
29,0.2165584256657568,8.902331760668092,0.5031734139247044,2.324471995541199,-0.7788974545517627,-0.0005546776158802,0.0001140149484569
30,0.1987454246154356,8.797017111384019,0.5391206080647862,2.371738889424008,-0.7964939669539116,-0.0005061412384101,0.0001169484937925
31,0.1827076592271128,8.68144166629473,0.5747154657437948,2.415090451614629,-0.8123129324150681,-0.0004549092782568,0.0001196575762995
32,0.1682694424612161,8.558552919895625,0.6098046271124529,2.454742181932016,-0.8265298904855862,-0.0004014879818223,0.0001221388997348
33,0.1552686694971091,8.43083999089512,0.6442525627571307,2.490913644653254,-0.8393068115701771,-0.0003463825801232,0.0001243965405738
34,0.143557351288462,8.300388045770466,0.6779414392767986,2.523823945789483,-0.8507915664417162,-0.0002901030398326,0.0001264459422694
35,0.1330014457527825,8.168928776475868,0.7107706163724941,2.553687959520301,-0.8611180880568381,-0.0002331664597098,0.0001283029028628
36,0.1234802385140301,8.037886474736958,0.7426558686505633,2.580713371113931,-0.8704069837767786,-0.0001760040986307,0.0001299790232357
37,0.1148854556401237,7.908419776242297,0.7735284104182846,2.60509856793069,-0.8787664224207077,-0.0001188157532164,0.0001314740577408
38,0.1071202312999398,7.78145910163156,0.8033337910965686,2.627031262275215,-0.8862931625551893,-6.159866832994027e-05,0.0001327854927754
39,0.1000980297951811,7.657739610169936,0.8320307155921967,2.646687641060484,-0.893073636461301,-4.385548020670487e-06,0.0001339182054411
40,0.0937415901061928,7.537829941178969,0.8595898232732729,2.66423192576744,-0.8991850138251383,5.257202524505077e-05,0.000134883174339
